Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) ",,,thresholds_reached
1/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,1/4/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
2/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,1/4/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
3/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,1/5/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
4/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,1/5/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
5/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,1/6/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
6/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
7/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
9/21,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
10/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
11/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
12/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
13/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,1/10/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
14/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
15/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,1/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
16/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,1/12/21,-1.0,-1.0,-1.0,-1.0,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,,0
17/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,1/12/21,0.0,0.0,0.0,200.0,,ND,ND,,,0
18/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,1/12/21,-1.0,-1.0,-1.0,-1.0,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,,0
19/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,1/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
20/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,1/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
21/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,1/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
22/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,1/12/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
23/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,1/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
24/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,1/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
25/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
26/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,1/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
27/21,The Wash,B003V,Boston BC,TF44234098,Toft,1/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
28/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,1/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
